Feature,CSV_Feature_Index,Electrode,Region,Lobe,Hemisphere,Scalp,Feature_Type
Hjorth_Mobility_9,158,F4,Frontal,Frontal,Right,Right frontal scalp,Hjorth_Mobility
Hjorth_Complexity_9,159,F4,Frontal,Frontal,Right,Right frontal scalp,Hjorth_Complexity
Alpha_Band_psd_mean_10,160,C4,Central,Parietal,Right,Right central scalp,Alpha_Band_psd_mean
Beta_Band_psd_mean_10,161,C4,Central,Parietal,Right,Right central scalp,Beta_Band_psd_mean
Gamma_Band_psd_mean_10,162,C4,Central,Parietal,Right,Right central scalp,Gamma_Band_psd_mean
Theta_Band_psd_mean_10,163,C4,Central,Parietal,Right,Right central scalp,Theta_Band_psd_mean
Delta_Band_psd_mean_10,164,C4,Central,Parietal,Right,Right central scalp,Delta_Band_psd_mean
Alpha_Band_psd_variance_10,165,C4,Central,Parietal,Right,Right central scalp,Alpha_Band_psd_variance
Beta_Band_psd_variance_10,166,C4,Central,Parietal,Right,Right central scalp,Beta_Band_psd_variance
Gamma_Band_psd_variance_10,167,C4,Central,Parietal,Right,Right central scalp,Gamma_Band_psd_variance
Theta_Band_psd_variance_10,168,C4,Central,Parietal,Right,Right central scalp,Theta_Band_psd_variance
Delta_Band_psd_variance_10,169,C4,Central,Parietal,Right,Right central scalp,Delta_Band_psd_variance
Fractal_Dimension_10,170,C4,Central,Parietal,Right,Right central scalp,Fractal_Dimension
Wavelet_Energy_10,171,C4,Central,Parietal,Right,Right central scalp,Wavelet_Energy
Spectral_Entropy_10,172,C4,Central,Parietal,Right,Right central scalp,Spectral_Entropy
Hjorth_Activity_10,173,C4,Central,Parietal,Right,Right central scalp,Hjorth_Activity
Hjorth_Mobility_10,174,C4,Central,Parietal,Right,Right central scalp,Hjorth_Mobility
Hjorth_Complexity_10,175,C4,Central,Parietal,Right,Right central scalp,Hjorth_Complexity
Alpha_Band_psd_mean_11,176,P4,Parietal,Parietal,Right,Right parietal scalp,Alpha_Band_psd_mean
Beta_Band_psd_mean_11,177,P4,Parietal,Parietal,Right,Right parietal scalp,Beta_Band_psd_mean
Gamma_Band_psd_mean_11,178,P4,Parietal,Parietal,Right,Right parietal scalp,Gamma_Band_psd_mean
Theta_Band_psd_mean_11,179,P4,Parietal,Parietal,Right,Right parietal scalp,Theta_Band_psd_mean
Delta_Band_psd_mean_11,180,P4,Parietal,Parietal,Right,Right parietal scalp,Delta_Band_psd_mean
Alpha_Band_psd_variance_11,181,P4,Parietal,Parietal,Right,Right parietal scalp,Alpha_Band_psd_variance
Beta_Band_psd_variance_11,182,P4,Parietal,Parietal,Right,Right parietal scalp,Beta_Band_psd_variance
Gamma_Band_psd_variance_11,183,P4,Parietal,Parietal,Right,Right parietal scalp,Gamma_Band_psd_variance
Theta_Band_psd_variance_11,184,P4,Parietal,Parietal,Right,Right parietal scalp,Theta_Band_psd_variance
Delta_Band_psd_variance_11,185,P4,Parietal,Parietal,Right,Right parietal scalp,Delta_Band_psd_variance
Fractal_Dimension_11,186,P4,Parietal,Parietal,Right,Right parietal scalp,Fractal_Dimension
Wavelet_Energy_11,187,P4,Parietal,Parietal,Right,Right parietal scalp,Wavelet_Energy
Spectral_Entropy_11,188,P4,Parietal,Parietal,Right,Right parietal scalp,Spectral_Entropy
Hjorth_Activity_11,189,P4,Parietal,Parietal,Right,Right parietal scalp,Hjorth_Activity
Hjorth_Mobility_11,190,P4,Parietal,Parietal,Right,Right parietal scalp,Hjorth_Mobility
Hjorth_Complexity_11,191,P4,Parietal,Parietal,Right,Right parietal scalp,Hjorth_Complexity
Alpha_Band_psd_mean_12,192,O2,Occipital,Occipital,Right,Right occipital scalp,Alpha_Band_psd_mean
Beta_Band_psd_mean_12,193,O2,Occipital,Occipital,Right,Right occipital scalp,Beta_Band_psd_mean
Gamma_Band_psd_mean_12,194,O2,Occipital,Occipital,Right,Right occipital scalp,Gamma_Band_psd_mean
